2017-02-27 18:18:14 status unpacked e2fslibs:amd64 1.42.12-2+b1
2017-02-27 18:18:14 install e2fsprogs:amd64 <none> 1.42.12-2+b1
2017-02-27 18:18:14 status half-installed e2fsprogs:amd64 1.42.12-2+b1
2017-02-27 18:18:15 status unpacked e2fsprogs:amd64 1.42.12-2+b1
2017-02-27 18:18:15 status unpacked e2fsprogs:amd64 1.42.12-2+b1
2017-02-27 18:18:15 install libcomerr2:amd64 <none> 1.42.12-2+b1
2017-02-27 18:18:15 status half-installed libcomerr2:amd64 1.42.12-2+b1
2017-02-27 18:18:16 status unpacked libcomerr2:amd64 1.42.12-2+b1
2017-02-27 18:18:16 status unpacked libcomerr2:amd64 1.42.12-2+b1
2017-02-27 18:18:16 install libss2:amd64 <none> 1.42.12-2+b1
2017-02-27 18:18:16 status half-installed libss2:amd64 1.42.12-2+b1
2017-02-27 18:18:16 status unpacked libss2:amd64 1.42.12-2+b1
2017-02-27 18:18:16 status unpacked libss2:amd64 1.42.12-2+b1
2017-02-27 18:18:16 install findutils:amd64 <none> 4.4.2-9+b1
2017-02-27 18:18:16 status half-installed findutils:amd64 4.4.2-9+b1
2017-02-27 18:18:17 status unpacked findutils:amd64 4.4.2-9+b1
2017-02-27 18:18:17 status unpacked findutils:amd64 4.4.2-9+b1
2017-02-27 18:18:17 install gcc-4.8-base:amd64 <none> 4.8.4-1
2017-02-27 18:18:17 status half-installed gcc-4.8-base:amd64 4.8.4-1
2017-02-27 18:18:17 status unpacked gcc-4.8-base:amd64 4.8.4-1
2017-02-27 18:18:17 status unpacked gcc-4.8-base:amd64 4.8.4-1
2017-02-27 18:18:18 install gcc-4.9-base:amd64 <none> 4.9.2-10
2017-02-27 18:18:18 status half-installed gcc-4.9-base:amd64 4.9.2-10
2017-02-27 18:18:18 status unpacked gcc-4.9-base:amd64 4.9.2-10
2017-02-27 18:18:18 status unpacked gcc-4.9-base:amd64 4.9.2-10
2017-02-27 18:18:18 install libgcc1:amd64 <none> 1:4.9.2-10
2017-02-27 18:18:18 status half-installed libgcc1:amd64 1:4.9.2-10
2017-02-27 18:18:18 status unpacked libgcc1:amd64 1:4.9.2-10
2017-02-27 18:18:18 status unpacked libgcc1:amd64 1:4.9.2-10
2017-02-27 18:18:19 install libc-bin:amd64 <none> 2.19-18+deb8u7
2017-02-27 18:18:19 status half-installed libc-bin:amd64 2.19-18+deb8u7
2017-02-27 18:18:19 status unpacked libc-bin:amd64 2.19-18+deb8u7
2017-02-27 18:18:19 status unpacked libc-bin:amd64 2.19-18+deb8u7
2017-02-27 18:18:20 upgrade libc6:amd64 2.19-18+deb8u7 2.19-18+deb8u7
2017-02-27 18:18:20 status half-configured libc6:amd64 2.19-18+deb8u7
2017-02-27 18:18:20 status unpacked libc6:amd64 2.19-18+deb8u7
2017-02-27 18:18:20 status half-installed libc6:amd64 2.19-18+deb8u7
2017-02-27 18:18:25 status half-installed libc6:amd64 2.19-18+deb8u7
2017-02-27 18:18:25 status unpacked libc6:amd64 2.19-18+deb8u7
2017-02-27 18:18:25 status unpacked libc6:amd64 2.19-18+deb8u7
2017-02-27 18:18:26 install multiarch-support:amd64 <none> 2.19-18+deb8u7
2017-02-27 18:18:26 status half-installed multiarch-support:amd64 2.19-18+deb8u7
2017-02-27 18:18:26 status unpacked multiarch-support:amd64 2.19-18+deb8u7
2017-02-27 18:18:26 status unpacked multiarch-support:amd64 2.19-18+deb8u7
2017-02-27 18:18:26 install grep:amd64 <none> 2.20-4.1
2017-02-27 18:18:26 status half-installed grep:amd64 2.20-4.1
2017-02-27 18:18:27 status unpacked grep:amd64 2.20-4.1
2017-02-27 18:18:27 status unpacked grep:amd64 2.20-4.1
2017-02-27 18:18:27 install gzip:amd64 <none> 1.6-4
2017-02-27 18:18:27 status half-installed gzip:amd64 1.6-4
2017-02-27 18:18:28 status unpacked gzip:amd64 1.6-4
2017-02-27 18:18:28 status unpacked gzip:amd64 1.6-4
2017-02-27 18:18:28 install hostname:amd64 <none> 3.15
2017-02-27 18:18:28 status half-installed hostname:amd64 3.15
2017-02-27 18:18:28 status unpacked hostname:amd64 3.15
2017-02-27 18:18:28 status unpacked hostname:amd64 3.15
2017-02-27 18:18:29 install init:amd64 <none> 1.22
2017-02-27 18:18:29 status half-installed init:amd64 1.22
2017-02-27 18:18:29 status unpacked init:amd64 1.22
2017-02-27 18:18:29 status unpacked init:amd64 1.22
2017-02-27 18:18:29 install insserv:amd64 <none> 1.14.0-5
2017-02-27 18:18:29 status half-installed insserv:amd64 1.14.0-5
2017-02-27 18:18:29 status unpacked insserv:amd64 1.14.0-5
2017-02-27 18:18:29 status unpacked insserv:amd64 1.14.0-5
2017-02-27 18:18:30 install libkmod2:amd64 <none> 18-3
2017-02-27 18:18:30 status half-installed libkmod2:amd64 18-3
2017-02-27 18:18:31 status unpacked libkmod2:amd64 18-3
2017-02-27 18:18:31 status unpacked libkmod2:amd64 18-3
2017-02-27 18:18:31 install libcap2:amd64 <none> 1:2.24-8
2017-02-27 18:18:31 status half-installed libcap2:amd64 1:2.24-8
2017-02-27 18:18:31 status unpacked libcap2:amd64 1:2.24-8
2017-02-27 18:18:31 status unpacked libcap2:amd64 1:2.24-8
2017-02-27 18:18:31 install libcap2-bin:amd64 <none> 1:2.24-8
2017-02-27 18:18:31 status half-installed libcap2-bin:amd64 1:2.24-8
2017-02-27 18:18:32 status unpacked libcap2-bin:amd64 1:2.24-8
2017-02-27 18:18:32 status unpacked libcap2-bin:amd64 1:2.24-8
2017-02-27 18:18:32 install libgcrypt20:amd64 <none> 1.6.3-2+deb8u2
2017-02-27 18:18:32 status half-installed libgcrypt20:amd64 1.6.3-2+deb8u2
2017-02-27 18:18:32 status unpacked libgcrypt20:amd64 1.6.3-2+deb8u2
2017-02-27 18:18:32 status unpacked libgcrypt20:amd64 1.6.3-2+deb8u2
2017-02-27 18:18:33 install libgpg-error0:amd64 <none> 1.17-3
2017-02-27 18:18:33 status half-installed libgpg-error0:amd64 1.17-3
2017-02-27 18:18:34 status unpacked libgpg-error0:amd64 1.17-3
2017-02-27 18:18:34 status unpacked libgpg-error0:amd64 1.17-3
2017-02-27 18:18:34 install liblocale-gettext-perl:amd64 <none> 1.05-8+b1
2017-02-27 18:18:34 status half-installed liblocale-gettext-perl:amd64 1.05-8+b1
2017-02-27 18:18:34 status unpacked liblocale-gettext-perl:amd64 1.05-8+b1
2017-02-27 18:18:34 status unpacked liblocale-gettext-perl:amd64 1.05-8+b1
2017-02-27 18:18:35 install libselinux1:amd64 <none> 2.3-2
2017-02-27 18:18:35 status half-installed libselinux1:amd64 2.3-2
2017-02-27 18:18:35 status unpacked libselinux1:amd64 2.3-2
2017-02-27 18:18:35 status unpacked libselinux1:amd64 2.3-2
2017-02-27 18:18:35 install libsemanage-common:all <none> 2.3-1
2017-02-27 18:18:35 status half-installed libsemanage-common:all 2.3-1
2017-02-27 18:18:35 status unpacked libsemanage-common:all 2.3-1
2017-02-27 18:18:36 status unpacked libsemanage-common:all 2.3-1
2017-02-27 18:18:36 install libsemanage1:amd64 <none> 2.3-1+b1
2017-02-27 18:18:36 status half-installed libsemanage1:amd64 2.3-1+b1
2017-02-27 18:18:36 status unpacked libsemanage1:amd64 2.3-1+b1
2017-02-27 18:18:36 status unpacked libsemanage1:amd64 2.3-1+b1
2017-02-27 18:18:37 install libsepol1:amd64 <none> 2.3-2
2017-02-27 18:18:37 status half-installed libsepol1:amd64 2.3-2
2017-02-27 18:18:37 status unpacked libsepol1:amd64 2.3-2
2017-02-27 18:18:37 status unpacked libsepol1:amd64 2.3-2
2017-02-27 18:18:37 install libtext-charwidth-perl:amd64 <none> 0.04-7+b3
2017-02-27 18:18:37 status half-installed libtext-charwidth-perl:amd64 0.04-7+b3
