2015-04-27 06:54:48 status half-installed dash:amd64 0.5.7-4ubuntu1
2015-04-27 06:54:48 status unpacked dash:amd64 0.5.7-4ubuntu1
2015-04-27 06:54:48 status unpacked dash:amd64 0.5.7-4ubuntu1
2015-04-27 06:54:48 install debconf:all <none> 1.5.51ubuntu2
2015-04-27 06:54:48 status half-installed debconf:all 1.5.51ubuntu2
2015-04-27 06:54:49 status unpacked debconf:all 1.5.51ubuntu2
2015-04-27 06:54:49 status unpacked debconf:all 1.5.51ubuntu2
2015-04-27 06:54:49 install debianutils:amd64 <none> 4.4
2015-04-27 06:54:49 status half-installed debianutils:amd64 4.4
2015-04-27 06:54:49 status unpacked debianutils:amd64 4.4
2015-04-27 06:54:49 status unpacked debianutils:amd64 4.4
2015-04-27 06:54:49 install diffutils:amd64 <none> 1:3.3-1
2015-04-27 06:54:49 status half-installed diffutils:amd64 1:3.3-1
2015-04-27 06:54:49 status unpacked diffutils:amd64 1:3.3-1
2015-04-27 06:54:49 status unpacked diffutils:amd64 1:3.3-1
2015-04-27 06:54:49 upgrade dpkg:amd64 1.17.5ubuntu5 1.17.5ubuntu5
2015-04-27 06:54:49 status half-configured dpkg:amd64 1.17.5ubuntu5
2015-04-27 06:54:49 status unpacked dpkg:amd64 1.17.5ubuntu5
2015-04-27 06:54:49 status half-installed dpkg:amd64 1.17.5ubuntu5
2015-04-27 06:54:50 status half-installed dpkg:amd64 1.17.5ubuntu5
2015-04-27 06:54:50 status unpacked dpkg:amd64 1.17.5ubuntu5
2015-04-27 06:54:50 status unpacked dpkg:amd64 1.17.5ubuntu5
2015-04-27 06:54:50 install e2fslibs:amd64 <none> 1.42.9-3ubuntu1
2015-04-27 06:54:50 status half-installed e2fslibs:amd64 1.42.9-3ubuntu1
2015-04-27 06:54:50 status unpacked e2fslibs:amd64 1.42.9-3ubuntu1
2015-04-27 06:54:50 status unpacked e2fslibs:amd64 1.42.9-3ubuntu1
2015-04-27 06:54:50 install e2fsprogs:amd64 <none> 1.42.9-3ubuntu1
2015-04-27 06:54:50 status half-installed e2fsprogs:amd64 1.42.9-3ubuntu1
2015-04-27 06:54:50 status unpacked e2fsprogs:amd64 1.42.9-3ubuntu1
2015-04-27 06:54:51 status unpacked e2fsprogs:amd64 1.42.9-3ubuntu1
2015-04-27 06:54:51 install findutils:amd64 <none> 4.4.2-7
2015-04-27 06:54:51 status half-installed findutils:amd64 4.4.2-7
2015-04-27 06:54:51 status unpacked findutils:amd64 4.4.2-7
2015-04-27 06:54:51 status unpacked findutils:amd64 4.4.2-7
